DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Epithelial ovarian cancer	HOTAIR	SNAI1	positively-E	RNAi;western blot	upregulation	qPCR	NA	NA	cell invasion(+);tumorigenesis(+);cell metastasis(+);prognosis(-)	NA	association	NA	NA	NA	Tissue Invasion and Metastasis	Cancer	Ovarian cancer	lncRNA	TF	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000124216	NA	100124700	6615	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	SLUGH2|SNA|SNAH|SNAIL|SNAIL1|dJ710H13.1	Effects of Targeting lncRNA HOTAIR on the Invasion and Nude Mouse Tumorigenicity of Epithelial Ovarian Cancer Cells The lncRNA HOTAIR low expression resulted in increasing E-cadherin and decreasing snail expression detected by qRT-PCR in the shHOTAIR transfected SKOV3 cells of xenograft tumor,compared with the scramble control (P<0.05).Targeting lncRNA HOTAIR expression in SKOV3 cells with RNA interference can decrease snail,increase E-cadherin and significantly reduce the invasion and tumorigenicity of epithelial ovarian cancer SKOV3 cells.	30014633;24662839	RID00985	expression association
Epithelial ovarian cancer	HOTAIR	CDH1	negatively-E	RNAi;western blot	upregulation	qPCR	NA	NA	cell invasion(+);tumorigenesis(+);cell metastasis(+);prognosis(-)	NA	association	NA	NA	NA	Tissue Invasion and Metastasis	Cancer	Ovarian cancer	lncRNA	PCG	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000039068	NA	100124700	999	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO	Effects of Targeting lncRNA HOTAIR on the Invasion and Nude Mouse Tumorigenicity of Epithelial Ovarian Cancer Cells The lncRNA HOTAIR low expression resulted in increasing E-cadherin and decreasing snail expression detected by qRT-PCR in the shHOTAIR transfected SKOV3 cells of xenograft tumor,compared with the scramble control (P<0.05).Targeting lncRNA HOTAIR expression in SKOV3 cells with RNA interference can decrease snail,increase E-cadherin and significantly reduce the invasion and tumorigenicity of epithelial ovarian cancer SKOV3 cells.	30014633;24662839	RID00986	expression association
Alzheimer's disease	MALAT1	BAX	negatively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(-);apoptosis process(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Nervous system disease	Alzheimer's disease	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000087088	NA	378938	581	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	BCL2L4	MALAT1 inhibits proliferation and promotes apoptosis of SH-SY5Y cells induced by Abeta25-35 via blocking PI3K/mTOR/GSK3beta pathway Inhibited expression of MALAT1 significantly inhibited the proliferation of AD SH-SY5Y cells, promoted apoptosis and arrested cell cycle in G1 phase. Western blotting showed that the inhibited expression of MALAT1 up-regulated the expressions of BAX, caspase-3 and down-regulated the expression of Bcl-2. At the same time, the inhibited expression of MALAT1 significantly inhibited the expression of p-PI3K/p-mTOR/p-GSK3beta.	30043735	RID00987	expression association
Alzheimer's disease	MALAT1	CASP3	negatively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(-);apoptosis process(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Nervous system disease	Alzheimer's disease	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000164305	NA	378938	836	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	CPP32|CPP32B|SCA-1	MALAT1 inhibits proliferation and promotes apoptosis of SH-SY5Y cells induced by Abeta25-35 via blocking PI3K/mTOR/GSK3beta pathway Inhibited expression of MALAT1 significantly inhibited the proliferation of AD SH-SY5Y cells, promoted apoptosis and arrested cell cycle in G1 phase. Western blotting showed that the inhibited expression of MALAT1 up-regulated the expressions of BAX, caspase-3 and down-regulated the expression of Bcl-2. At the same time, the inhibited expression of MALAT1 significantly inhibited the expression of p-PI3K/p-mTOR/p-GSK3beta.	30043735	RID00988	expression association
Alzheimer's disease	MALAT1	BCL2	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(-);apoptosis process(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Nervous system disease	Alzheimer's disease	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000171791	NA	378938	596	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	Bcl-2|PPP1R50	MALAT1 inhibits proliferation and promotes apoptosis of SH-SY5Y cells induced by Abeta25-35 via blocking PI3K/mTOR/GSK3beta pathway Inhibited expression of MALAT1 significantly inhibited the proliferation of AD SH-SY5Y cells, promoted apoptosis and arrested cell cycle in G1 phase. Western blotting showed that the inhibited expression of MALAT1 up-regulated the expressions of BAX, caspase-3 and down-regulated the expression of Bcl-2. At the same time, the inhibited expression of MALAT1 significantly inhibited the expression of p-PI3K/p-mTOR/p-GSK3beta.	30043735	RID00989	expression association
Alzheimer's disease	MALAT1	PI3K	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(-);apoptosis process(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Nervous system disease	Alzheimer's disease	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	NA	NA	378938	NA	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	NA	MALAT1 inhibits proliferation and promotes apoptosis of SH-SY5Y cells induced by Abeta25-35 via blocking PI3K/mTOR/GSK3beta pathway Inhibited expression of MALAT1 significantly inhibited the proliferation of AD SH-SY5Y cells, promoted apoptosis and arrested cell cycle in G1 phase. Western blotting showed that the inhibited expression of MALAT1 up-regulated the expressions of BAX, caspase-3 and down-regulated the expression of Bcl-2. At the same time, the inhibited expression of MALAT1 significantly inhibited the expression of p-PI3K/p-mTOR/p-GSK3beta.	30043735	RID00990	expression association
Alzheimer's disease	MALAT1	MTOR	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(-);apoptosis process(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Nervous system disease	Alzheimer's disease	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000198793	NA	378938	2475	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS	MALAT1 inhibits proliferation and promotes apoptosis of SH-SY5Y cells induced by Abeta25-35 via blocking PI3K/mTOR/GSK3beta pathway Inhibited expression of MALAT1 significantly inhibited the proliferation of AD SH-SY5Y cells, promoted apoptosis and arrested cell cycle in G1 phase. Western blotting showed that the inhibited expression of MALAT1 up-regulated the expressions of BAX, caspase-3 and down-regulated the expression of Bcl-2. At the same time, the inhibited expression of MALAT1 significantly inhibited the expression of p-PI3K/p-mTOR/p-GSK3beta.	30043735	RID00991	expression association
Alzheimer's disease	MALAT1	GSK3B	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(-);apoptosis process(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Nervous system disease	Alzheimer's disease	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000082701	NA	378938	2932	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	NA	MALAT1 inhibits proliferation and promotes apoptosis of SH-SY5Y cells induced by Abeta25-35 via blocking PI3K/mTOR/GSK3beta pathway Inhibited expression of MALAT1 significantly inhibited the proliferation of AD SH-SY5Y cells, promoted apoptosis and arrested cell cycle in G1 phase. Western blotting showed that the inhibited expression of MALAT1 up-regulated the expressions of BAX, caspase-3 and down-regulated the expression of Bcl-2. At the same time, the inhibited expression of MALAT1 significantly inhibited the expression of p-PI3K/p-mTOR/p-GSK3beta.	30043735	RID00992	expression association
Fatty liver disease	LNCARSR	SREBF1	positively-E	RNAi	upregulation	qPCR	NA	NA	adipogenesis(+);steatosis(+)	NA	regulation	NA	NA	NA	NA	Disease of metabolism	Fatty liver disease	lncRNA	TF	ENSG00000233086	GRCh38_9:79505804-79567802	ENSG00000072310	NA	112577459	6720	NA	SREBP1|bHLHd1	we identified that lncARSR regulated hepatic lipogenesis via upregulating SREBP-1c, the key regulatory molecule involved in lipogenesis.our data indicated that lncARSR potentially contributes to the hepatic steatosis in NAFLD, which may be a new therapeutic target against NAFLD.	29555473	RID00993	expression association
Skin squamous cell carcinoma	MALAT1	CDH1	negatively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Skin carcinoma	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000039068	NA	378938	999	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	Arc-1|BCDS1|CD324|CDHE|ECAD|LCAM|UVO	Role of long noncoding RNA MALAT1 promotes the occurrence and progression of cutaneous squamous cell carcinoma. MALAT1 knockdown with siRNAs resulted in significantly lowered cell proliferation (P<0.001), migration (P<0.01), invasion (P<0.01), and mobility (P<0.01). Knocking down MALAT1 gene also caused significantly increased expressions of E-cadherin and beta-catenin (P<0.01) and lowered the expression of vimentin (P<0.01) in A431 cells.	29735442	RID00994	expression association
Skin squamous cell carcinoma	MALAT1	CTNNB1	negatively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Skin carcinoma	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000168036	NA	378938	1499	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	CTNNB|EVR7|MRD19|NEDSDV|armadillo	Role of long noncoding RNA MALAT1 promotes the occurrence and progression of cutaneous squamous cell carcinoma. MALAT1 knockdown with siRNAs resulted in significantly lowered cell proliferation (P<0.001), migration (P<0.01), invasion (P<0.01), and mobility (P<0.01). Knocking down MALAT1 gene also caused significantly increased expressions of E-cadherin and beta-catenin (P<0.01) and lowered the expression of vimentin (P<0.01) in A431 cells.	29735442	RID00995	expression association
Skin squamous cell carcinoma	MALAT1	VIM	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Skin carcinoma	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000026025	NA	378938	7431	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	NA	Role of long noncoding RNA MALAT1 promotes the occurrence and progression of cutaneous squamous cell carcinoma. MALAT1 knockdown with siRNAs resulted in significantly lowered cell proliferation (P<0.001), migration (P<0.01), invasion (P<0.01), and mobility (P<0.01). Knocking down MALAT1 gene also caused significantly increased expressions of E-cadherin and beta-catenin (P<0.01) and lowered the expression of vimentin (P<0.01) in A431 cells.	29735442	RID00996	expression association
Hepatocellular carcinoma	LINC01138	PRMT5	interact	RNAi;RIP;RNA pull-down assay	upregulation	qPCR	NA	NA	tumorigenesis(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	NA	Cancer	Liver cancer	lncRNA	PCG	ENSG00000274020	GRCh38_1:148290889-148519604	ENSG00000100462	NA	388685	10419	LINC00875	HRMT1L5|HSL7|IBP72|JBP1|SKB1|SKB1Hs	The LINC01138 drives malignancies via activating arginine methyltransferase 5 in hepatocellular carcinoma. LINC01138 acts as an oncogenic driver that promotes cell proliferation, tumorigenicity, tumour invasion and metastasis by physically interacting with arginine methyltransferase 5 (PRMT5) and enhancing its protein stability by blocking ubiquitin/proteasome-dependent degradation in HCC.	29679004	RID00997	interact with protein
Rheumatoid arthritis	GAPLINC	miR-382-5p	negatively-F	miRanda;PITA;RNAhybrid;RNAi;CLIP-seq	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+);cell migration(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Musculoskeletal system disease	Bone disease	lncRNA	miRNA	ENSG00000266835	GRCh38_18:3466250-3478978	NA	NA	100505592	NA	LINC01540	NA	Long Non-Coding RNA GAPLINC Promotes Tumor-Like Biologic Behaviors of Fibroblast-Like Synoviocytes as MicroRNA Sponging in Rheumatoid Arthritis Patients. Further verification of this model demonstrated that silencing of GAPLINC increased miR-382-5p and miR-575 expression.The results of this study suggest that GAPLINC may function as a novel microRNAs sponging agent affecting the biological characteristics of RA-FLSs.GAPLINC may also promote RA-FLS tumor-like behaviors in a miR-382-5p-dependent and miR-575-dependent manner. GAPLINC suppression in RA-FLS cells revealed significant alterations in cell proliferation, invasion, migration, and proinflammatory cytokines production.	29692777	RID00998	ceRNA or sponge
Rheumatoid arthritis	GAPLINC	miR-575	negatively-F	miRanda;PITA;RNAhybrid;RNAi;CLIP-seq	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+);cell migration(+)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Musculoskeletal system disease	Bone disease	lncRNA	miRNA	ENSG00000266835	GRCh38_18:3466250-3478978	NA	NA	100505592	NA	LINC01540	NA	Further verification of this model demonstrated that silencing of GAPLINC increased miR-382-5p and miR-575 expression.The results of this study suggest that GAPLINC may function as a novel microRNAs sponging agent affecting the biological characteristics of RA-FLSs.GAPLINC may also promote RA-FLS tumor-like behaviors in a miR-382-5p-dependent and miR-575-dependent manner. GAPLINC suppression in RA-FLS cells revealed significant alterations in cell proliferation, invasion, migration, and proinflammatory cytokines production.	29692777	RID00999	ceRNA or sponge
Cervical cancer	HOTAIR	miR-17-5p	negatively-F	luciferase reporter assay	upregulation	qPCR	NA	NA	oncogenic role(+)	sponge	binding/interaction	RNA-RNA	NA	NA	NA	Cancer	Cervical cancer	lncRNA	miRNA	ENSG00000228630	GRCh38_12:53962308-53974956	NA	NA	100124700	NA	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	NA	Long Noncoding RNA HOTAIR: An Oncogene in Human Cervical Cancer Interacting With MicroRNA-17-5p. Pearson's correlation analysis indicated that miR-17-5p expression was negatively correlated to that of HOTAIR. Luciferase reporter assay revealed that miR-17-5p directly targeted HOTAIR 3'-UTR.our results reveal the tumor-promoting role of HOTAIR in cervical cancer via sponging miR-17-5p.Loss-of-function experiments showed that HOTAIR knockdown inhibited the proliferation, migration, and invasion of cervical cells.In summary, our results reveal the tumor-promoting role of HOTAIR in cervical cancer via sponging miR-17-5p, providing a novel therapeutic target for future treatment of cervical cancer.	28745272	RID01000	ceRNA or sponge
Polycystic ovary syndrome	NPTN-IT1	TIMP2	positively-E	western blot	downregulation	qPCR	NA	NA	epithelial to mesenchymal transition(-);apoptosis process(+)	NA	association	NA	NA	NA	Tissue Invasion and Metastasis;Evading Apoptosis	Syndrome	Polycystic ovary syndrome	lncRNA	PCG	ENSG00000281183	GRCh38_15:73567012-73569294	ENSG00000035862	NA	101241892	7077	lncRNA-LET	CSC-21K|DDC8	LncRNA-LET inhibits cell viability, migration and EMT while induces apoptosis by up-regulation of TIMP2 in human granulosa-like tumor cell line KGN. Overexpression of lncRNA-LET inhibits cell viability, migration and EMT process, and increases apoptosis in KGN cells by up-regulating the expression of TIMP2 and activating the Wnt/beta-catenin and notch signaling pathways.	29432996	RID01001	expression association
Papillary thyroid carcinoma	E2F1	RGMB-AS1	positively-E	qRT-PCR;RNAi;ChIP	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+)	transcriptional regulation	binding/interaction	protein-DNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Thyroid cancer	TF	lncRNA	ENSG00000101412	NA	ENSG00000246763	GRCh38_5:98769618-98773469	1869	503569	E2F-1|RBAP1|RBBP3|RBP3	NA	LncRNA RGMB-AS1 is activated by E2F1 and promotes cell proliferation and invasion in papillary thyroid carcinoma.Results of CHIP assay showed that E2F1 bound to lncRNA RGMB-AS1 promoter region.	29687852	RID01002	transcriptional regulation
Pre-eclampsia	HK2P1	HK2	positively-E	luciferase reporter assay	upregulation	qPCR	NA	NA	cell proliferation(+);cell differentiation(+)	ceRNA(miR-6887-3p)	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cardiovascular system disease	Eclampsia	lncRNA	PCG	ENSG00000228612	GRCh38_X:80571871-80574607	ENSG00000159399	NA	642546	3099	HK2P	HKII|HXK2	Dysregulated Pseudogene HK2P1 May Contribute to Preeclampsia as a Competing Endogenous RNA for Hexokinase 2 by Impairing Decidualization. there was a significant positive correlation between the expression of HK2P1 and HK2, and HK2P1 regulated the HK2 expression via competition for the shared miR-6887-3p. Downregulated HK2P1 or HK2 inhibited human endometrial stromal cells proliferation and differentiation. By sequence alignment, we found miR-6887-3p had 4 potential binding sites in HK2P1 as well as in the 3'-UTR of HK2	29440331	RID01003	ceRNA or sponge
Atherosclerosis	ENST00113	PI3K	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell survival(+);cell migration(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Self Sufficiency in Growth Signals;Evading Apoptosis;Tissue Invasion and Metastasis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	NA	GRCh38_21:27722379-27751233	NA	NA	NA	NA	NA	NA	LncRNA ENST00113 promotes proliferation, survival, and migration by activating PI3K/Akt/mTOR signaling pathway in atherosclerosis. we found that the protein expressions of phosphorylated-PI3K (p-PI3K), phosphorylated-Akt (p-Akt), phosphorylated-mTOR (p-mTOR), and bcl-2 in HUVECs cells transfected with si-00113-1 or si-00113-2 were dramatically decreased compared with si-NC-transfected cells and control cells.LncRNA ENST00113 promotes proliferation, survival, and migration by activating PI3K/Akt/mTOR signaling pathway in atherosclerosis.	29668625	RID01004	expression association
Atherosclerosis	ENST00113	AKT1	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell survival(+);cell migration(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Self Sufficiency in Growth Signals;Evading Apoptosis;Tissue Invasion and Metastasis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	NA	GRCh38_21:27722379-27751233	ENSG00000142208	NA	NA	207	NA	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	we found that the protein expressions of phosphorylated-PI3K (p-PI3K), phosphorylated-Akt (p-Akt), phosphorylated-mTOR (p-mTOR), and bcl-2 in HUVECs cells transfected with si-00113-1 or si-00113-2 were dramatically decreased compared with si-NC-transfected cells and control cells.LncRNA ENST00113 promotes proliferation, survival, and migration by activating PI3K/Akt/mTOR signaling pathway in atherosclerosis.	29668625	RID01005	expression association
Atherosclerosis	ENST00113	MTOR	positively-E	RNAi	upregulation	qPCR	NA	NA	cell proliferation(+);cell survival(+);cell migration(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Self Sufficiency in Growth Signals;Evading Apoptosis;Tissue Invasion and Metastasis	Cardiovascular system disease	Atherosclerosis	lncRNA	PCG	NA	GRCh38_21:27722379-27751233	ENSG00000198793	NA	NA	2475	NA	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS	we found that the protein expressions of phosphorylated-PI3K (p-PI3K), phosphorylated-Akt (p-Akt), phosphorylated-mTOR (p-mTOR), and bcl-2 in HUVECs cells transfected with si-00113-1 or si-00113-2 were dramatically decreased compared with si-NC-transfected cells and control cells.LncRNA ENST00113 promotes proliferation, survival, and migration by activating PI3K/Akt/mTOR signaling pathway in atherosclerosis.	29668625	RID01006	expression association
Cerebral ischemia-reperfusion injury	MALAT1	PI3K	positively-E	RNAi	upregulation	qPCR	NA	NA	apoptosis process(-)	NA	association	NA	NA	NA	Evading Apoptosis	Cardiovascular system disease	Ischemia	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	NA	NA	378938	NA	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	NA	Mechanism of MALAT1 preventing apoptosis of vascular endothelial cells induced by oxygen-glucose deficiency and reoxidation. After OGD-R, over-expression of MALAT1 lentivirus increased phosphatidylinositol 3-kinase (PI3K) activity.This study first proposed that lncRNA MALAT1 can protect human cerebrovascular endothelial cells from OGD-R-induced apoptosis through a PI3K-dependent mechanism.Long noncoding RNA MALAT1 inhibits apoptosis induced by oxygen-glucose deprivation and reoxygenation in human brain microvascular endothelial cells. lentiviral knockdown of MALAT1 decreased PI3K activities and the activation of Akt phosphorylation.In conclusion, to the best of our knowledge, the present study was the first to suggest that lncRNA MALAT1 may protect human brain vascular endothelial cells from OGD-R-induced apoptosis via a PI3K-dependent mechanism.	29575939;28413461	RID01007	expression association
Lung adenocarcinoma	MALAT1	CDKN1A	negatively-E	RNAi;western blot;luciferase reporter assay	upregulation	qPCR	NA	NA	cell cycle(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Lung cancer	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000124762	NA	378938	1026	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1	Identification of Minimal p53 Promoter Region Regulated by MALAT1 in Human Lung Adenocarcinoma Cells. Flow cytometry analysis revealed that MALAT1-depleted cells exhibited G1 cell cycle arrest. These results suggest that MALAT1 affects the expression of p53 target genes through repressing p53 promoter activity, leading to influence the cell cycle progression.p21 and FAS, well-known p53 targets, were upregulation by MALAT1 knockdown in A549 human lung adenocarcinoma cells. These results suggest that MALAT1 affects the expression of p53 target genes through repressing p53 promoter activity, leading to influence the cell cycle progression.	29632545	RID01008	expression association
Lung adenocarcinoma	MALAT1	FAS	negatively-E	RNAi;western blot;luciferase reporter assay	upregulation	qPCR	NA	NA	cell cycle(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Lung cancer	lncRNA	PCG	ENSG00000251562	GRCh38_11:65497688-65506516	ENSG00000026103	NA	378938	355	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853	ALPS1A|APO-1|APT1|CD95|FAS1|FASTM|TNFRSF6	Identification of Minimal p53 Promoter Region Regulated by MALAT1 in Human Lung Adenocarcinoma Cells. Flow cytometry analysis revealed that MALAT1-depleted cells exhibited G1 cell cycle arrest. These results suggest that MALAT1 affects the expression of p53 target genes through repressing p53 promoter activity, leading to influence the cell cycle progression.p21 and FAS, well-known p53 targets, were upregulation by MALAT1 knockdown in A549 human lung adenocarcinoma cells. These results suggest that MALAT1 affects the expression of p53 target genes through repressing p53 promoter activity, leading to influence the cell cycle progression.	29632545	RID01009	expression association
Multiple myeloma	PDIA3P1	G6PD	positively-E	RIP;ChIP	upregulation	qPCR	NA	NA	chemoresistance(+)	transcriptional regulation	regulation	RNA-DNA	bortezomib	NA	NA	Cancer	Myeloma	lncRNA	PCG	ENSG00000180867	GRCh38_1:147172744-147179622	ENSG00000160211	NA	171423	2539	NA	G6PD1	LncRNA PDIA3P interacts with c-Myc to regulate cell proliferation via induction of pentose phosphate pathway in multiple myeloma. we revealed that PDIA3P interacts with c-Myc to enhance its transactivation activity and binding to G6PD promoter, stimulating G6PD expression and PPP flux. PDIA3P promotes cell proliferation and bortezomib resistance through G6PD and the pentose phosphate pathway LncRNA PDIA3P interacts with c-Myc to regulate cell proliferation via induction of pentose phosphate pathway in multiple myeloma.we found lncRNA Protein disulfide isomerase family A member 3 pseudogene 1 (PDIA3P) is highly expressed in MM.	29501744	RID01010	transcriptional regulation
Lung cancer	FENDRR	FOXF1	positively-E	luciferase reporter assay;RNAi;ChIP	downregulation	sequencing	TCGA	LUSC_LUAD.zip	tumorigenesis(-)	ceRNA(miR-424)	regulation	NA	NA	NA	NA	Cancer	Lung cancer	lncRNA	TF	ENSG00000268388	GRCh38_16:86474529-86509099	ENSG00000103241	NA	400550	2294	FOXF1-AS1|FOXF1AS1|TCONS_00024240|lincFOXF1|onco-lncRNA-21	ACDMPV|FKHL5|FREAC1	FENDRR can upregulate FOXF1 by competitively binding to miR-424. FENDRR, a long intergenic non-coding RNA (lincRNA) that functions to inhibit lung cancer by affecting expressions of an abundant number of genes, including the tumor suppressor FOXF1.	29293945	RID01011	ceRNA or sponge
Chronic myeloid leukemia	MEG3	miR-184	negatively-F	western blot;luciferase reporter assay	downregulation	qPCR	NA	NA	cell proliferation(-);cell metastasis(-)	sponge	binding/interaction	RNA-RNA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Leukemia	lncRNA	miRNA	ENSG00000214548	GRCh38_14:100779410-100861031	NA	NA	55384	NA	FP504|GTL2|LINC00023|NCRNA00023|PRO0518|PRO2160|onco-lncRNA-83|prebp1	NA	Long Noncoding RNA MEG3 Inhibits Cell Proliferation and Metastasis in Chronic Myeloid Leukemia via Targeting miR-184. overexpression of MEG3 significantly decreased the expression of miR-184, and MEG3 knockdown markedly increased it. Furthermore, our results showed that MEG3 interacted with miR-184 and subsequently mitigated the proliferation and invasion of leukemia cells by downregulating related proteins.	28653609	RID01012	ceRNA or sponge
Gastric cancer	NEAT1	miR-335-5p	negatively-E	luciferase reporter assay	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);cell invasion(+)	NA	association	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Gastric cancer	lncRNA	miRNA	ENSG00000245532	GRCh38_11:65422774-65445540	NA	NA	283131	NA	LINC00084|NCRNA00084|TncRNA|VINC	NA	Long non-coding RNA NEAT1 regulates the proliferation, migration and invasion of gastric cancer cells via targeting miR-335-5p/ROCK1 axis. In addition, lncRNA NEAT1 inhibited the expression of miR-335-5p, and miR-335-5p targeted ROCK1 in BGC-823 cells. miR-335-5p overexpression significantly inhibited cell proliferation, migration and invasion, which was counteracted by ROCK1 overexpression concurrently. Our findings indicate that upregulation of NEAT1 may promote proliferation, migration and invasion of gastric cancer cells via targeting miR-335-5p/ROCK1 axis.	29544562	RID01013	expression association
Gastric cancer	NEAT1	ROCK1	positively-E	luciferase reporter assay	upregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+);cell invasion(+)	NA	regulation	NA	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000245532	GRCh38_11:65422774-65445540	ENSG00000067900	NA	283131	6093	LINC00084|NCRNA00084|TncRNA|VINC	P160ROCK|ROCK-I	Long non-coding RNA NEAT1 regulates the proliferation, migration and invasion of gastric cancer cells via targeting miR-335-5p/ROCK1 axis. In addition, lncRNA NEAT1 inhibited the expression of miR-335-5p, and miR-335-5p targeted ROCK1 in BGC-823 cells. miR-335-5p overexpression significantly inhibited cell proliferation, migration and invasion, which was counteracted by ROCK1 overexpression concurrently. Our findings indicate that upregulation of NEAT1 may promote proliferation, migration and invasion of gastric cancer cells via targeting miR-335-5p/ROCK1 axis.	29544562	RID01014	expression association
